City,Area_Code,Population,Unemployment_Rate,Police_Stations,Time,Victim_Age,Victim_Gender,Weapon_Used,Past_Crime_Rate,Crime_Occurred
Patna,35,63281,4.2,4,Evening,35,Female,Gun,90,1
Hyderabad,24,53271,8.7,1,Morning,39,Male,Rod,82,1
Bangalore,28,76697,15.6,9,Morning,62,Male,None,32,0
Hyderabad,36,46534,16.92,10,Night,36,Male,None,46,0
Delhi,16,103034,11.62,5,Night,69,Male,None,66,1
Delhi,40,68097,4.29,8,Morning,41,Male,Knife,56,0
Jaipur,16,194885,16.42,3,Afternoon,35,Female,None,26,0
Mumbai,17,35037,4.79,4,Night,21,Female,Gun,61,1
Bhopal,15,177079,7.65,4,Morning,18,Male,Rod,15,0
Patna,16,37278,8.01,8,Night,25,Female,Gun,18,0
Hyderabad,15,149344,9.16,9,Night,27,Male,Knife,35,0
Bangalore,34,198255,14.64,3,Morning,48,Male,Gun,8,0
Delhi,11,109173,14.83,7,Evening,37,Female,Rod,26,0
Delhi,1,48294,13.51,9,Afternoon,31,Female,Rod,68,1
Mumbai,15,83277,2.35,2,Evening,32,Female,None,81,0
Bangalore,26,14694,11.04,4,Morning,25,Male,Knife,88,1
Bangalore,4,68150,13.96,3,Morning,27,Male,Knife,87,1
Mumbai,43,77470,9.11,8,Afternoon,34,Male,Gun,83,1
Delhi,5,31556,17.12,4,Morning,55,Female,None,94,1
Bhopal,35,190927,15.18,9,Night,38,Female,None,88,1
Lucknow,13,59086,12.21,1,Afternoon,55,Male,None,65,1
Lucknow,10,159979,3.0,1,Evening,25,Female,Rod,10,0
Mumbai,11,189559,12.44,4,Afternoon,25,Female,Knife,83,1
Bangalore,18,170230,16.59,3,Evening,65,Male,Gun,72,1
Patna,34,161365,8.07,3,Morning,25,Female,Gun,10,0
Mumbai,39,186833,15.41,10,Evening,54,Female,Gun,70,1
Bhopal,41,109468,7.01,2,Evening,45,Male,None,40,0
Mumbai,42,43387,11.12,10,Evening,19,Male,Knife,19,0
Kolkata,23,181822,12.37,10,Afternoon,16,Male,Knife,80,1
Hyderabad,7,78602,12.85,2,Night,58,Female,Rod,44,1
Bangalore,39,162328,16.12,8,Evening,34,Male,Rod,45,1
Jaipur,3,146666,5.75,1,Afternoon,20,Female,Rod,11,0
Jaipur,12,12460,6.2,8,Afternoon,45,Male,Gun,26,0
Bangalore,7,82356,13.26,10,Night,41,Male,Gun,76,1
Bhopal,49,64698,4.84,3,Afternoon,55,Male,Knife,15,0
Kolkata,26,111746,9.43,2,Morning,49,Female,Rod,6,0
Kolkata,33,26191,2.32,9,Morning,17,Male,Gun,34,0
Delhi,37,94631,4.26,5,Morning,39,Male,Rod,72,0
Hyderabad,48,20529,12.86,5,Night,29,Female,Rod,57,1
Lucknow,15,42175,13.96,6,Afternoon,56,Female,Knife,93,1
Chennai,2,27675,3.85,4,Morning,57,Male,Knife,25,0
Bhopal,41,184230,5.64,7,Evening,28,Male,Gun,29,0
Chennai,7,56798,3.58,7,Afternoon,44,Male,Knife,77,0
Chennai,32,80910,8.93,11,Morning,16,Female,Rod,76,0
Bangalore,4,140400,4.02,9,Afternoon,61,Female,Knife,9,0
Jaipur,20,167048,9.0,6,Morning,49,Male,Rod,70,1
Jaipur,36,88678,13.71,1,Evening,19,Male,Rod,89,1
Lucknow,32,72821,12.93,9,Afternoon,43,Male,Gun,53,1
Bangalore,28,22204,6.49,10,Morning,34,Male,Gun,12,0
Chennai,13,196737,12.78,9,Morning,16,Female,Gun,91,1
Patna,1,17394,16.84,5,Evening,51,Female,Rod,83,1
Jaipur,35,74814,7.56,7,Evening,58,Female,Knife,31,0
Bhopal,48,43593,7.27,1,Morning,28,Male,Gun,6,0
Bhopal,30,183036,11.14,4,Morning,65,Male,Gun,32,1
Delhi,36,125064,5.93,10,Night,57,Female,Knife,15,0
Mumbai,25,63365,12.43,4,Night,20,Male,Knife,50,1
Patna,16,141515,15.32,5,Afternoon,48,Female,Gun,25,1
Jaipur,19,169252,9.35,6,Afternoon,29,Male,Rod,46,0
Kolkata,1,189863,12.87,4,Night,31,Male,Rod,36,0
Jaipur,5,184737,12.43,6,Morning,47,Male,Gun,36,1
Delhi,22,113700,2.62,10,Evening,65,Female,Knife,75,0
Bhopal,24,107077,4.93,7,Afternoon,42,Male,Rod,26,0
Chennai,43,144537,16.3,3,Morning,50,Male,Knife,82,1
Kolkata,45,78247,17.02,9,Evening,18,Female,None,81,1
Bangalore,37,192631,14.49,8,Evening,19,Male,Knife,25,0
Hyderabad,36,166270,16.74,1,Morning,22,Male,Knife,26,1
Chennai,36,64740,6.9,2,Morning,28,Female,None,38,0
Hyderabad,4,163560,5.96,2,Afternoon,56,Male,Rod,14,0
Patna,36,179587,8.15,10,Night,18,Female,Rod,69,0
Mumbai,18,37898,2.89,9,Morning,32,Male,Rod,69,0
Kolkata,16,142991,14.96,9,Night,62,Male,Gun,92,1
Lucknow,41,191142,17.75,9,Afternoon,25,Female,None,71,1
Kolkata,18,72613,15.18,1,Night,62,Male,Knife,47,1
Jaipur,22,106707,10.88,7,Night,16,Female,None,45,0
Bhopal,2,121777,6.72,11,Evening,43,Male,None,17,0
Jaipur,21,57003,5.16,3,Afternoon,69,Female,None,8,0
Jaipur,36,58478,7.83,11,Morning,68,Male,None,27,0
Patna,44,155506,12.67,9,Night,25,Male,None,74,1
Chennai,39,187318,9.15,8,Afternoon,22,Male,None,38,0
Lucknow,47,177721,16.94,3,Evening,54,Male,Gun,45,1
Lucknow,39,69030,15.67,1,Evening,18,Male,None,22,0
Jaipur,29,194133,3.64,9,Night,22,Female,None,94,1
Hyderabad,26,143071,4.1,10,Night,24,Male,Rod,37,0
Patna,21,155921,12.82,1,Morning,55,Female,None,29,0
Jaipur,17,62800,5.69,3,Afternoon,50,Female,None,56,0
Mumbai,16,15445,14.66,6,Morning,41,Male,Rod,21,0
Bhopal,31,159112,11.46,6,Morning,20,Male,Rod,55,0
Chennai,9,10246,5.68,11,Evening,28,Male,Rod,7,0
Bangalore,31,41153,9.66,10,Afternoon,60,Female,Knife,59,0
Mumbai,14,15212,8.5,4,Morning,45,Male,None,90,1
Hyderabad,49,144411,15.97,2,Evening,55,Male,None,60,1
Kolkata,37,66238,2.51,10,Night,65,Male,None,39,0
Kolkata,2,160466,16.33,6,Morning,54,Male,Rod,72,1
Mumbai,48,63871,12.43,10,Night,25,Male,Gun,63,1
Jaipur,46,110672,13.8,5,Afternoon,57,Male,None,63,1
Bangalore,14,44607,2.04,6,Morning,38,Female,Rod,17,0
Delhi,33,62055,12.05,7,Night,26,Male,Rod,66,1
Delhi,35,114509,11.42,11,Night,27,Female,Rod,51,0
Hyderabad,39,145467,10.6,9,Afternoon,28,Female,Knife,80,1
Jaipur,47,137378,14.57,7,Evening,55,Male,Rod,7,0
Lucknow,20,156362,10.89,4,Evening,64,Male,Gun,25,0
Lucknow,2,97687,15.71,10,Morning,61,Female,Knife,69,1
Chennai,41,75078,5.72,5,Night,64,Male,Rod,22,0
Bangalore,19,144763,14.9,6,Evening,66,Male,Gun,17,0
Bangalore,37,148542,4.87,9,Morning,31,Male,Gun,75,1
Kolkata,18,144913,15.01,5,Night,24,Male,None,81,1
Patna,16,112652,17.05,5,Morning,67,Female,Rod,85,1
Hyderabad,4,73197,7.37,7,Afternoon,25,Female,Rod,49,0
Delhi,12,65773,10.48,2,Morning,44,Female,None,66,1
Hyderabad,29,158848,12.53,3,Afternoon,24,Male,Gun,34,1
Lucknow,7,128943,3.27,2,Night,48,Female,Rod,79,1
Lucknow,14,37584,9.91,10,Night,39,Female,None,18,0
Mumbai,12,145372,7.77,10,Night,50,Female,None,57,0
Chennai,35,13338,15.96,2,Morning,26,Male,Gun,14,1
Bangalore,5,72601,16.03,3,Night,54,Male,Gun,76,1
Bhopal,17,146559,13.21,6,Night,65,Male,Rod,35,0
Hyderabad,42,46282,12.49,5,Afternoon,28,Male,Rod,10,0
Lucknow,32,125447,13.74,11,Night,38,Male,Knife,87,1
Patna,10,105798,7.86,5,Night,40,Female,Gun,23,0
Kolkata,43,140963,8.47,2,Night,65,Female,Knife,16,0
Delhi,17,118611,10.86,2,Evening,31,Male,Knife,68,1
Chennai,5,169876,17.01,1,Night,63,Male,None,86,1
Patna,45,150987,13.58,3,Morning,36,Female,None,59,1
Chennai,42,21158,10.82,11,Afternoon,25,Female,Rod,71,0
Mumbai,9,20547,14.33,7,Night,56,Male,Gun,13,0
Bhopal,49,98713,7.93,11,Morning,55,Male,Gun,10,0
Lucknow,33,12459,13.69,5,Afternoon,34,Male,Knife,5,0
Kolkata,36,169840,8.57,7,Afternoon,50,Female,Knife,46,0
Patna,36,73146,6.47,9,Morning,43,Female,Rod,59,0
Chennai,18,113577,11.76,6,Morning,56,Male,None,53,0
Bangalore,9,191942,12.99,2,Evening,17,Male,Gun,34,1
Mumbai,29,117761,9.35,1,Evening,66,Female,Gun,39,1
Bangalore,14,113727,11.05,1,Night,45,Female,Gun,67,1
Kolkata,25,60460,13.11,10,Evening,55,Female,Gun,26,0
Patna,15,92970,14.28,9,Morning,65,Male,None,47,0
Mumbai,6,179319,16.33,6,Evening,55,Male,Rod,32,0
Patna,42,25419,7.67,6,Afternoon,20,Male,Rod,22,0
Lucknow,29,45577,17.22,4,Morning,53,Male,None,36,0
Jaipur,15,12921,12.2,2,Night,57,Female,Rod,73,1
Mumbai,29,145748,14.6,10,Afternoon,30,Female,Rod,58,1
Bangalore,4,190756,13.2,3,Afternoon,51,Male,Knife,38,1
Kolkata,18,154535,5.29,3,Afternoon,18,Male,None,35,0
Bhopal,49,166546,3.14,8,Morning,39,Male,Rod,8,0
Lucknow,44,50935,13.62,6,Morning,56,Male,Knife,18,0
Jaipur,39,135534,10.18,7,Night,63,Male,None,19,0
Bhopal,16,199668,13.24,9,Evening,63,Male,None,64,1
Delhi,11,82828,9.63,1,Evening,62,Male,Gun,24,1
Lucknow,14,133649,7.0,2,Evening,56,Male,Knife,24,0
Kolkata,3,99062,6.56,9,Evening,64,Male,Knife,53,0
Chennai,42,65152,13.69,5,Afternoon,68,Male,Knife,72,1
Mumbai,38,106491,6.43,4,Morning,27,Female,None,22,0
Patna,45,96569,13.43,1,Evening,23,Female,Gun,28,1
Kolkata,42,82467,8.14,9,Afternoon,29,Female,None,31,0
Mumbai,18,193648,14.33,11,Morning,33,Female,Rod,37,0
Bhopal,20,166844,4.28,9,Morning,59,Male,Rod,68,0
Patna,48,157435,5.28,4,Morning,61,Female,Rod,29,0
Hyderabad,25,169562,12.97,9,Afternoon,35,Female,Gun,73,1
Bangalore,38,132537,10.96,10,Evening,38,Female,None,22,0
Delhi,13,63806,5.26,1,Morning,20,Female,Knife,49,0
Lucknow,4,141332,16.45,5,Afternoon,16,Female,Rod,24,0
Kolkata,14,85992,6.42,1,Morning,60,Male,Rod,39,0
Delhi,33,32320,8.74,4,Night,61,Female,None,10,0
Chennai,28,88971,5.24,5,Night,17,Female,Knife,79,1
Mumbai,37,183217,8.21,11,Afternoon,31,Male,Gun,13,0
Mumbai,8,58581,9.87,3,Evening,20,Female,Rod,56,1
Kolkata,44,103645,6.72,2,Evening,37,Male,Rod,32,0
Jaipur,34,30754,14.31,6,Morning,16,Female,Rod,23,0
Jaipur,44,79837,8.3,11,Evening,27,Male,Knife,89,1
Hyderabad,5,148279,13.67,3,Evening,34,Male,Rod,67,1
Bangalore,5,168992,5.31,10,Night,69,Male,Knife,11,0
Patna,31,133746,8.03,1,Afternoon,37,Female,Rod,41,0
Chennai,45,124780,2.13,11,Night,57,Female,Rod,93,0
Delhi,9,97081,14.14,5,Afternoon,59,Male,Knife,40,1
Jaipur,42,34016,12.01,2,Morning,66,Male,Knife,21,0
Hyderabad,32,70522,15.09,2,Night,63,Male,Gun,94,1
Hyderabad,33,130896,9.29,4,Afternoon,32,Male,None,41,0
Kolkata,3,195140,14.8,4,Evening,28,Male,Rod,85,1
Chennai,30,122099,12.36,4,Afternoon,54,Male,Rod,64,1
Bhopal,12,161174,2.06,7,Evening,43,Male,None,53,0
Patna,29,114429,6.06,1,Morning,18,Male,None,85,1
Bangalore,3,11924,9.9,8,Evening,20,Male,None,60,0
Lucknow,26,95015,11.9,10,Afternoon,51,Male,Rod,38,0
Kolkata,30,114987,3.05,9,Night,30,Female,Rod,91,1
Patna,9,64333,13.28,10,Afternoon,32,Male,Rod,34,0
Lucknow,26,187171,10.7,6,Night,59,Female,Knife,31,0
Lucknow,2,198418,10.41,4,Afternoon,61,Male,Gun,55,1
Chennai,3,136372,6.67,6,Afternoon,44,Female,Gun,13,0
Chennai,46,191134,11.52,10,Morning,19,Male,None,24,0
Delhi,4,141378,2.44,7,Evening,47,Female,None,91,0
Hyderabad,25,98495,3.04,6,Afternoon,64,Male,Rod,51,0
Patna,13,79767,13.74,11,Night,58,Male,Gun,23,0
Kolkata,39,114332,7.15,1,Evening,53,Male,Gun,72,1
Mumbai,44,153279,7.55,5,Morning,19,Female,Knife,81,1
Kolkata,35,49426,5.33,8,Evening,28,Male,Rod,16,0
Delhi,23,16336,9.13,8,Afternoon,35,Male,Rod,77,1
Bangalore,9,122200,2.83,10,Night,62,Male,Gun,83,1
Hyderabad,2,27256,6.81,9,Night,33,Female,Gun,89,1
Mumbai,41,190889,10.43,4,Evening,64,Female,Knife,83,1
Jaipur,44,43719,9.45,10,Night,66,Male,Knife,9,0
Bangalore,31,52017,17.99,6,Afternoon,57,Male,Rod,73,1
Chennai,44,55704,8.22,7,Night,52,Female,Knife,29,0
Lucknow,47,40013,8.19,5,Night,27,Female,Gun,92,1
Jaipur,2,89991,10.06,11,Night,40,Male,Rod,35,0
Kolkata,32,80258,5.04,8,Afternoon,45,Male,Gun,50,0
Kolkata,18,88348,16.02,3,Morning,30,Male,Rod,38,1
Chennai,13,177848,11.16,8,Night,51,Female,Rod,45,0
Delhi,46,20060,5.07,5,Morning,23,Female,Gun,82,1
Patna,5,147727,14.7,1,Evening,43,Male,Rod,72,1
Jaipur,42,59923,2.55,6,Evening,67,Female,Rod,91,1
Jaipur,44,88563,17.72,2,Afternoon,37,Female,Knife,42,1
Bhopal,10,145102,15.84,7,Afternoon,64,Male,Gun,50,1
Bangalore,43,99779,11.27,9,Afternoon,53,Male,Gun,73,1
Hyderabad,25,174361,3.78,3,Afternoon,31,Male,Knife,31,0
Bangalore,34,160811,5.44,10,Morning,20,Female,Rod,47,0
Patna,37,109704,6.47,4,Afternoon,61,Female,None,82,1
Kolkata,30,139157,5.86,4,Morning,49,Male,None,75,0
Kolkata,7,120234,9.96,4,Night,64,Female,Gun,49,1
Kolkata,6,71687,17.11,3,Night,53,Female,Knife,22,1
Bhopal,3,46491,9.11,5,Evening,26,Female,Rod,36,0
Kolkata,13,82115,12.59,9,Evening,17,Female,Knife,6,0
Patna,3,127935,13.02,11,Morning,40,Male,Rod,45,0
Chennai,26,93778,15.95,8,Afternoon,40,Female,Gun,24,1
Hyderabad,24,145853,2.54,10,Evening,16,Male,Gun,62,0
Patna,6,30448,8.47,2,Morning,46,Female,None,94,1
Hyderabad,43,61550,14.56,9,Evening,20,Male,Knife,42,0
Patna,49,59294,15.04,10,Afternoon,55,Female,Gun,5,0
Kolkata,42,31446,16.84,2,Morning,19,Male,Knife,73,1
Chennai,12,86579,13.24,7,Evening,66,Male,Gun,58,1
Jaipur,49,124679,5.92,5,Afternoon,20,Female,Rod,18,0
Bangalore,36,95615,10.09,7,Morning,20,Female,Rod,29,0
Lucknow,2,27101,2.52,5,Morning,31,Male,None,13,0
Chennai,11,38016,12.35,6,Morning,69,Female,Gun,87,1
Jaipur,39,160004,10.87,8,Night,33,Male,None,65,0
Delhi,34,185725,12.67,1,Morning,58,Male,None,56,1
Patna,26,100481,16.88,11,Evening,32,Male,Gun,12,0
Delhi,18,62802,13.0,1,Morning,50,Male,Gun,20,1
Jaipur,21,17549,7.13,5,Morning,33,Female,Rod,12,0
Chennai,36,166434,5.18,1,Morning,19,Female,None,27,0
Patna,40,57842,15.67,3,Morning,66,Female,Rod,77,1
Lucknow,46,56539,5.11,10,Morning,46,Female,Knife,38,0
Kolkata,44,43717,4.59,9,Night,46,Female,Knife,22,0
Patna,22,195668,5.31,7,Afternoon,24,Male,None,48,0
Patna,30,164088,10.14,6,Night,46,Female,None,19,0
Chennai,43,196272,3.99,8,Evening,20,Female,Gun,19,0
Chennai,30,125042,17.01,8,Afternoon,51,Female,Gun,27,1
Jaipur,8,137922,17.46,6,Evening,31,Male,None,91,1
Mumbai,34,102447,17.58,4,Morning,57,Female,None,69,1
Patna,47,93402,2.63,4,Evening,56,Female,Knife,90,1
Bangalore,9,52607,17.14,4,Night,31,Female,Rod,75,1
Patna,20,168693,17.96,6,Night,35,Female,Knife,36,1
Jaipur,40,22823,17.08,1,Morning,69,Female,Knife,36,1
Hyderabad,25,39986,12.74,2,Morning,45,Male,Rod,37,0
Delhi,19,131682,13.22,6,Afternoon,41,Female,None,47,0
Kolkata,5,74325,3.96,11,Night,64,Female,None,17,0
Mumbai,11,137925,15.99,1,Night,46,Female,Knife,13,0
Lucknow,15,67771,2.95,9,Afternoon,65,Male,Knife,66,0
Lucknow,8,64973,7.08,6,Night,30,Female,Rod,61,0
Lucknow,19,155762,17.86,7,Afternoon,67,Female,Gun,52,1
Chennai,23,49107,8.76,1,Night,56,Male,Gun,47,1
Lucknow,27,67888,4.1,8,Evening,53,Female,None,71,0
Kolkata,40,20956,17.51,5,Evening,53,Male,Gun,85,1
Delhi,32,96839,17.75,5,Afternoon,58,Female,None,36,0
Lucknow,26,197299,4.99,6,Afternoon,35,Male,None,77,0
Patna,27,177605,15.84,7,Morning,50,Male,None,64,1
Patna,19,197306,8.25,7,Night,38,Male,Rod,5,0
Chennai,42,111131,8.1,5,Evening,59,Male,Knife,61,1
Kolkata,29,77594,6.2,1,Morning,62,Female,Gun,88,1
Delhi,39,197973,2.72,11,Night,54,Male,Rod,73,0
Mumbai,41,21519,6.29,9,Evening,40,Male,Gun,89,1
Jaipur,33,172187,2.86,6,Night,69,Female,Rod,73,0
Delhi,19,11832,16.79,9,Afternoon,65,Female,Gun,72,1
Jaipur,37,182440,12.59,11,Evening,37,Male,Gun,65,1
Hyderabad,19,123922,16.19,4,Evening,62,Male,Knife,12,0
Jaipur,33,115474,13.48,2,Morning,23,Female,Gun,93,1
Bangalore,47,79715,4.1,3,Night,69,Male,Rod,11,0
Patna,16,81835,17.05,4,Afternoon,24,Female,Gun,41,1
Kolkata,23,83366,16.4,10,Afternoon,30,Female,Knife,46,1
Bhopal,7,47570,7.57,8,Night,63,Male,Gun,36,0
Chennai,26,147687,3.78,3,Night,35,Female,Rod,21,0
Bangalore,32,48311,13.27,8,Afternoon,50,Female,Gun,32,1
Jaipur,12,100245,13.65,6,Night,52,Male,Knife,74,1
Lucknow,8,113187,16.35,4,Morning,18,Female,Knife,52,1
Kolkata,5,33434,2.84,7,Night,49,Female,Knife,58,0
Bangalore,42,96879,4.27,11,Morning,49,Male,Knife,46,0
Chennai,28,25739,11.57,5,Morning,51,Female,None,40,0
Patna,5,76202,11.91,5,Night,50,Female,Knife,70,1
Kolkata,49,108580,2.54,9,Evening,24,Male,Gun,35,0
Chennai,26,89599,8.35,3,Evening,45,Female,Gun,69,1
Hyderabad,5,174721,11.35,10,Morning,69,Female,Gun,7,0
Hyderabad,22,188517,13.81,4,Night,41,Female,Gun,17,1
Chennai,15,126770,7.06,5,Morning,27,Female,None,35,0
Bangalore,13,49470,9.74,1,Night,39,Male,None,33,0
Kolkata,28,84965,15.02,7,Night,56,Female,None,61,1
Bangalore,33,135332,17.26,8,Afternoon,34,Male,Gun,37,1
Mumbai,43,189693,5.69,6,Evening,59,Female,Rod,57,0
Jaipur,23,139681,6.05,9,Evening,31,Male,Rod,14,0
Mumbai,33,173998,17.04,3,Afternoon,41,Female,Gun,67,1
Hyderabad,43,124300,8.33,2,Afternoon,38,Male,Knife,77,1
Patna,18,47997,13.49,5,Afternoon,48,Male,Knife,69,1
Delhi,30,181796,11.8,9,Morning,57,Female,Gun,6,0
Jaipur,26,107805,6.57,11,Morning,45,Female,Knife,6,0
Hyderabad,16,172776,12.46,1,Morning,38,Male,Knife,73,1
Bangalore,13,132202,12.49,1,Morning,25,Male,Rod,78,1
Bangalore,39,169463,11.48,10,Morning,51,Male,Gun,41,0
Bangalore,33,12526,3.59,3,Evening,46,Male,None,6,0
Patna,26,165758,17.92,10,Evening,58,Male,Rod,65,1
Mumbai,48,83339,8.41,3,Night,37,Male,Gun,44,1
Delhi,1,16574,12.21,5,Evening,58,Female,Gun,67,1
Bangalore,49,18733,16.17,4,Afternoon,58,Female,Rod,29,0
Bhopal,38,60290,8.77,6,Evening,69,Male,Knife,42,0
Jaipur,2,82793,14.38,8,Afternoon,53,Male,Knife,41,0
Kolkata,49,46051,17.55,8,Evening,62,Female,Rod,86,1
Bhopal,6,25909,7.74,11,Morning,17,Male,Gun,31,0
Delhi,46,87338,8.48,4,Evening,68,Male,None,88,1
Patna,38,83432,16.49,1,Night,38,Female,Gun,54,1
Delhi,42,38133,4.55,7,Morning,69,Female,None,38,0
Kolkata,24,192643,2.46,6,Morning,50,Male,None,48,0
Jaipur,18,89062,16.54,5,Night,52,Female,Gun,76,1
Kolkata,27,191980,15.15,4,Evening,47,Male,Gun,8,0
Chennai,41,152350,17.56,6,Evening,58,Female,Gun,56,1
Jaipur,8,121546,2.93,8,Night,68,Male,None,59,0
Delhi,28,61458,4.5,6,Morning,27,Male,Knife,77,1
Bangalore,10,197854,3.69,3,Night,50,Male,None,16,0
Delhi,17,65415,12.93,9,Afternoon,56,Male,None,18,0
Delhi,29,64160,11.7,3,Afternoon,18,Female,None,39,0
Jaipur,6,64399,7.75,4,Evening,49,Female,Rod,10,0
Chennai,14,35298,2.92,5,Morning,53,Female,Knife,51,0
Delhi,22,163263,12.23,11,Afternoon,39,Male,None,27,0
Bhopal,6,198036,11.12,2,Night,53,Female,None,72,1
Hyderabad,26,174164,3.81,11,Evening,32,Male,Rod,69,0
Lucknow,39,99407,16.54,10,Evening,55,Male,None,63,1
Lucknow,12,72513,5.18,11,Morning,16,Female,Knife,13,0
Delhi,35,61097,13.9,10,Afternoon,23,Female,None,62,0
Bhopal,14,171351,16.16,2,Evening,69,Male,Knife,52,1
Bangalore,22,155476,11.27,6,Night,30,Male,Knife,67,1
Patna,23,45198,5.95,2,Afternoon,65,Female,Gun,13,0
Patna,48,59997,6.95,10,Evening,60,Female,Rod,48,0
Jaipur,7,141639,16.17,1,Evening,40,Female,Rod,50,1
Lucknow,40,12179,6.77,8,Afternoon,23,Female,Rod,19,0
Delhi,25,12019,13.94,10,Afternoon,67,Female,Gun,92,1
Patna,13,91455,17.84,10,Morning,47,Male,Gun,57,1
Delhi,21,159776,18.0,1,Night,65,Male,Knife,52,1
Jaipur,41,159102,10.54,10,Morning,28,Male,Rod,76,1
Lucknow,10,136883,15.22,6,Morning,61,Female,Gun,46,1
Kolkata,9,79445,17.84,1,Night,30,Male,Gun,21,1
Hyderabad,15,83551,7.99,8,Night,21,Female,Gun,39,0
Hyderabad,2,13420,6.04,5,Morning,48,Female,Knife,35,0
Patna,25,69875,3.83,3,Afternoon,22,Female,None,8,0
Hyderabad,13,188725,4.25,5,Night,48,Male,Gun,52,1
Kolkata,34,26740,15.66,1,Morning,62,Male,Gun,18,1
Delhi,34,75263,11.42,1,Afternoon,44,Male,Gun,29,1
Jaipur,35,115789,15.98,4,Evening,53,Male,Rod,50,1
Kolkata,38,29465,14.63,9,Afternoon,52,Female,Rod,52,0
Jaipur,3,192504,12.78,9,Morning,59,Female,Gun,44,1
Jaipur,42,14131,11.75,1,Night,47,Male,Knife,54,1
Lucknow,6,20652,2.77,3,Afternoon,18,Male,None,11,0
Delhi,48,188219,15.96,4,Afternoon,69,Female,Rod,64,1
Bhopal,49,57671,8.69,2,Afternoon,35,Male,None,39,0
Hyderabad,19,99342,10.96,7,Night,29,Male,Gun,67,1
Bhopal,3,29171,2.35,3,Night,43,Female,Rod,24,0
Lucknow,18,196764,16.98,1,Afternoon,53,Male,None,20,0
Jaipur,39,68541,16.44,1,Afternoon,19,Male,Gun,26,1
Patna,9,19470,10.69,3,Morning,30,Male,Rod,40,0
Hyderabad,12,54308,11.24,6,Night,32,Female,Gun,23,0
Hyderabad,5,191711,13.28,4,Afternoon,52,Male,Rod,6,0
Delhi,3,162398,6.24,1,Night,39,Male,None,72,1
Chennai,11,145669,5.55,7,Night,53,Female,None,11,0
Mumbai,30,112840,12.78,2,Night,57,Female,Rod,51,1
Mumbai,4,171860,3.67,5,Morning,56,Female,Knife,53,0
Mumbai,5,59477,9.26,8,Evening,51,Female,Gun,82,1
Chennai,1,118261,9.88,7,Night,56,Female,None,47,0
Delhi,27,112466,8.1,11,Night,23,Female,Knife,36,0
Chennai,28,43071,4.96,8,Afternoon,18,Female,Rod,21,0
Mumbai,29,80560,7.69,10,Night,45,Male,None,18,0
Lucknow,18,198564,7.4,11,Evening,37,Female,None,85,0
Kolkata,12,172842,9.99,6,Night,67,Female,Gun,36,1
Jaipur,13,86762,12.79,7,Morning,48,Female,Knife,64,1
Chennai,41,176471,17.49,9,Afternoon,40,Male,Gun,64,1
Delhi,2,198511,4.31,6,Evening,67,Male,Rod,56,0
Delhi,37,185487,15.97,9,Morning,45,Female,None,70,1
Bhopal,45,153641,6.55,2,Evening,52,Female,Knife,8,0
Kolkata,16,12369,11.46,2,Afternoon,18,Female,Gun,67,1
Patna,48,119963,10.75,2,Night,19,Male,Knife,37,1
Hyderabad,24,10528,10.91,6,Afternoon,44,Female,Rod,5,0
Mumbai,35,118806,13.57,2,Afternoon,47,Male,None,68,1
Patna,22,171386,8.11,3,Night,38,Male,Knife,41,0
Bhopal,36,112979,7.11,8,Morning,34,Female,Rod,82,1
Mumbai,11,159119,15.65,8,Evening,30,Male,Rod,74,1
Kolkata,46,29748,5.52,11,Morning,66,Female,None,11,0
Bhopal,29,45109,4.88,4,Night,31,Male,Gun,28,0
Mumbai,35,23919,2.25,9,Evening,38,Male,None,72,0
Kolkata,48,57498,5.37,8,Night,55,Male,None,59,0
Bangalore,15,65808,10.3,1,Morning,61,Female,Knife,93,1
Patna,31,80441,10.62,8,Afternoon,52,Male,Knife,7,0
Patna,42,123843,6.07,1,Evening,16,Male,Gun,27,0
Hyderabad,41,84420,3.16,4,Night,34,Female,Rod,40,0
Kolkata,43,169978,13.91,10,Evening,52,Male,Knife,61,1
Chennai,16,117447,14.13,6,Evening,50,Male,Gun,52,1
Bangalore,10,76896,17.97,7,Morning,45,Female,None,17,0
Lucknow,49,113431,16.4,10,Afternoon,32,Female,Rod,65,1
Mumbai,32,163018,16.82,4,Evening,54,Female,None,90,1
Bangalore,2,57020,14.77,8,Morning,64,Male,Rod,93,1
Kolkata,24,32161,11.85,8,Evening,41,Male,Knife,28,0
Jaipur,23,37738,4.06,9,Afternoon,28,Male,None,47,0
Mumbai,2,144997,11.96,6,Evening,69,Male,None,37,0
Delhi,38,149535,2.9,4,Afternoon,37,Male,Rod,82,1
Patna,31,67153,16.16,2,Morning,61,Female,Gun,28,1
Kolkata,40,71009,9.71,7,Morning,38,Male,Rod,26,0
Delhi,26,97938,13.16,10,Afternoon,59,Female,Knife,56,1
Hyderabad,29,109546,2.84,3,Afternoon,58,Male,Gun,91,1
Bhopal,3,182624,10.55,11,Morning,48,Male,None,10,0
Lucknow,14,66271,6.82,3,Afternoon,42,Female,None,23,0
Lucknow,25,19797,6.56,3,Afternoon,50,Male,None,80,1
Delhi,48,96130,8.23,4,Night,27,Male,Knife,94,1
Patna,1,81942,2.01,2,Evening,24,Female,None,33,0
Hyderabad,3,128065,9.47,5,Morning,49,Female,None,68,0
