City,Age,Monthly_Income,Education_Level,Employment_Type,Digital_Usage_Hours,Household_Size,Area_Type,Govt_Scheme_Usage,Citizen_Segment
Jaipur,28,96205,Secondary,Private,9.82,6,Urban,3,1
Hyderabad,50,102349,Secondary,Unemployed,9.49,3,Urban,1,1
Mumbai,55,142837,Secondary,Self-Employed,9.74,3,Semi-Urban,1,1
Ahmedabad,28,146879,Secondary,Private,9.54,1,Rural,3,1
Pune,44,15204,Primary,Government,0.57,5,Semi-Urban,2,0
Chennai,50,47120,Secondary,Self-Employed,7.54,3,Urban,2,1
Hyderabad,38,107903,Graduate,Government,3.08,2,Rural,0,1
Mumbai,56,42081,Graduate,Unemployed,7.2,1,Urban,1,1
Delhi,48,39986,Primary,Private,9.82,7,Semi-Urban,1,1
Lucknow,55,84322,Postgraduate,Unemployed,0.87,3,Urban,1,0
Kolkata,63,99819,Secondary,Private,5.89,5,Urban,3,1
Mumbai,19,135015,Secondary,Private,7.48,6,Urban,3,1
Jaipur,44,55304,Graduate,Government,2.91,2,Semi-Urban,3,0
Hyderabad,53,70592,Primary,Unemployed,2.64,6,Urban,2,0
Jaipur,28,63548,Postgraduate,Government,1.07,5,Semi-Urban,3,0
Lucknow,64,103447,Graduate,Government,1.39,5,Semi-Urban,0,1
Chennai,35,44986,Postgraduate,Government,6.74,5,Urban,3,1
Ahmedabad,18,79095,Primary,Unemployed,5.3,6,Rural,2,0
Ahmedabad,52,96594,Primary,Private,0.79,4,Urban,1,0
Jaipur,52,93281,Primary,Private,9.71,2,Urban,0,1
Pune,48,71151,Graduate,Unemployed,6.73,5,Urban,2,1
Chennai,45,78598,Primary,Private,5.4,4,Rural,4,0
Ahmedabad,56,33214,Graduate,Unemployed,3.09,1,Rural,1,0
Chennai,18,43745,Graduate,Unemployed,6.75,4,Semi-Urban,3,0
Mumbai,42,146753,Secondary,Private,3.96,1,Rural,2,0
Chennai,60,143056,Graduate,Self-Employed,7.17,6,Rural,4,1
Bangalore,55,95810,Graduate,Government,6.98,7,Urban,2,1
Lucknow,37,5944,Secondary,Unemployed,1.38,7,Semi-Urban,3,0
Ahmedabad,20,98993,Postgraduate,Unemployed,9.14,4,Semi-Urban,2,1
Chennai,68,14114,Secondary,Self-Employed,5.13,6,Rural,4,0
Jaipur,19,44846,Secondary,Unemployed,4.23,5,Rural,2,0
Delhi,35,37596,Primary,Unemployed,9.58,4,Urban,0,0
Bangalore,61,109087,Primary,Private,4.66,4,Rural,0,0
Bangalore,27,11907,Secondary,Private,7.35,5,Rural,3,0
Pune,22,30009,Primary,Self-Employed,6.72,1,Semi-Urban,4,0
Chennai,26,89846,Secondary,Unemployed,2.07,5,Rural,4,0
Pune,19,55241,Primary,Government,9.92,2,Urban,4,1
Pune,51,23996,Graduate,Private,4.9,7,Semi-Urban,4,0
Delhi,55,142119,Primary,Government,4.25,7,Semi-Urban,4,0
Mumbai,48,33767,Primary,Government,9.24,4,Rural,1,1
Chennai,27,21347,Graduate,Self-Employed,5.53,2,Urban,2,1
Hyderabad,67,107063,Secondary,Self-Employed,7.2,5,Semi-Urban,4,1
Ahmedabad,29,29102,Primary,Unemployed,8.54,7,Urban,0,0
Pune,53,9263,Primary,Self-Employed,2.74,6,Urban,2,0
Lucknow,38,113585,Graduate,Private,2.11,5,Rural,3,0
Kolkata,66,72438,Graduate,Unemployed,1.15,3,Urban,3,0
Lucknow,64,101359,Graduate,Unemployed,9.02,2,Semi-Urban,4,1
Delhi,23,135251,Postgraduate,Government,2.4,7,Rural,1,1
Delhi,65,32690,Graduate,Government,3.42,3,Semi-Urban,1,0
Jaipur,66,7994,Secondary,Government,3.22,2,Urban,2,0
Mumbai,20,108533,Primary,Unemployed,3.39,6,Urban,1,0
Ahmedabad,27,72546,Primary,Self-Employed,6.85,3,Rural,3,0
Pune,22,143449,Postgraduate,Self-Employed,9.56,3,Rural,4,1
Lucknow,63,83572,Primary,Self-Employed,3.63,2,Semi-Urban,0,0
Kolkata,43,31467,Primary,Unemployed,4.37,5,Semi-Urban,3,0
Delhi,38,136120,Secondary,Unemployed,7.83,1,Urban,3,1
Delhi,62,52606,Primary,Unemployed,4.61,5,Rural,2,0
Mumbai,43,103112,Secondary,Unemployed,9.3,1,Urban,1,1
Kolkata,55,78414,Postgraduate,Unemployed,5.28,2,Urban,0,1
Kolkata,61,98145,Secondary,Self-Employed,3.8,4,Semi-Urban,0,0
Mumbai,43,53115,Graduate,Unemployed,9.73,5,Semi-Urban,1,1
Delhi,25,94606,Graduate,Self-Employed,4.54,3,Semi-Urban,4,0
Ahmedabad,22,45647,Postgraduate,Unemployed,2.7,5,Rural,1,0
Chennai,32,59607,Primary,Self-Employed,2.19,2,Semi-Urban,4,0
Chennai,33,26996,Secondary,Private,9.95,4,Rural,0,1
Mumbai,18,88697,Graduate,Private,7.65,4,Urban,2,1
Kolkata,33,51022,Secondary,Self-Employed,4.38,5,Rural,3,0
Pune,54,45148,Graduate,Private,8.35,5,Semi-Urban,0,1
Mumbai,20,72764,Secondary,Private,5.69,6,Rural,0,0
Ahmedabad,69,96901,Primary,Self-Employed,3.52,5,Rural,0,0
Mumbai,64,95724,Postgraduate,Unemployed,7.56,2,Semi-Urban,3,1
Bangalore,48,129766,Primary,Unemployed,7.59,1,Semi-Urban,4,0
Lucknow,30,13888,Secondary,Self-Employed,5.25,6,Urban,2,0
Kolkata,33,103941,Graduate,Government,0.93,1,Rural,2,0
Jaipur,60,22333,Graduate,Government,1.23,3,Urban,2,0
Jaipur,38,41355,Postgraduate,Private,7.99,7,Urban,4,1
Kolkata,19,134686,Primary,Government,8.32,2,Rural,1,1
Ahmedabad,44,108170,Primary,Private,6.94,6,Urban,1,1
Bangalore,55,80675,Primary,Unemployed,8.47,4,Rural,2,0
Bangalore,43,72664,Graduate,Self-Employed,7.34,6,Urban,0,1
Delhi,55,91153,Postgraduate,Unemployed,9.02,3,Urban,0,1
Lucknow,63,98616,Graduate,Self-Employed,1.93,4,Rural,3,0
Chennai,42,40285,Primary,Government,4.18,6,Semi-Urban,1,0
Hyderabad,28,51996,Secondary,Unemployed,4.91,4,Rural,0,0
Ahmedabad,25,51947,Graduate,Unemployed,3.33,5,Semi-Urban,2,0
Hyderabad,25,56030,Postgraduate,Private,7.39,4,Rural,3,1
Hyderabad,50,47443,Primary,Self-Employed,9.17,6,Rural,1,0
Kolkata,24,133344,Secondary,Government,4.42,4,Semi-Urban,3,1
Jaipur,55,70464,Graduate,Unemployed,9.44,2,Semi-Urban,0,1
Jaipur,38,133019,Secondary,Self-Employed,5.41,5,Rural,2,1
Chennai,25,140024,Secondary,Government,5.46,5,Rural,2,1
Kolkata,68,125454,Postgraduate,Unemployed,6.2,3,Rural,2,1
Hyderabad,38,129444,Graduate,Self-Employed,3.05,5,Semi-Urban,0,1
Pune,37,117175,Postgraduate,Private,4.14,1,Rural,4,1
Jaipur,25,47460,Primary,Unemployed,5.76,2,Semi-Urban,2,0
Ahmedabad,63,5015,Secondary,Self-Employed,9.45,3,Urban,4,1
Ahmedabad,48,54757,Postgraduate,Government,6.61,1,Semi-Urban,2,1
Delhi,67,86541,Postgraduate,Government,3.66,4,Urban,4,1
Mumbai,46,26292,Primary,Private,0.6,7,Rural,1,0
Pune,65,127694,Graduate,Unemployed,9.83,1,Rural,1,1
Jaipur,26,52046,Postgraduate,Private,5.18,3,Semi-Urban,2,1
Bangalore,32,19817,Secondary,Self-Employed,9.42,5,Urban,3,1
Jaipur,47,14759,Secondary,Government,5.72,2,Rural,3,0
Delhi,43,11412,Secondary,Private,6.25,7,Rural,0,0
Ahmedabad,27,25504,Secondary,Unemployed,7.26,3,Urban,1,0
Hyderabad,46,113500,Postgraduate,Self-Employed,3.55,1,Rural,1,1
Bangalore,33,13507,Secondary,Unemployed,7.14,7,Rural,3,0
Kolkata,53,26050,Postgraduate,Private,5.5,1,Semi-Urban,2,1
Lucknow,37,140892,Graduate,Government,6.89,3,Rural,0,1
Hyderabad,62,143907,Secondary,Government,8.44,7,Urban,1,1
Lucknow,54,105153,Graduate,Private,2.25,6,Rural,0,0
Pune,39,18587,Postgraduate,Unemployed,6.33,6,Semi-Urban,1,0
Mumbai,24,62732,Primary,Unemployed,1.0,3,Rural,4,0
Bangalore,40,56921,Graduate,Unemployed,1.47,6,Urban,4,0
Chennai,58,122734,Secondary,Unemployed,6.91,3,Rural,0,0
Bangalore,57,135104,Primary,Government,1.17,5,Urban,3,0
Jaipur,46,142912,Graduate,Unemployed,6.16,7,Semi-Urban,3,1
Ahmedabad,33,36440,Postgraduate,Private,2.59,3,Rural,1,0
Jaipur,55,40183,Postgraduate,Private,3.39,4,Rural,4,0
Jaipur,45,101172,Postgraduate,Private,1.73,2,Semi-Urban,4,0
Pune,65,138461,Graduate,Private,2.86,2,Urban,0,1
Hyderabad,55,119515,Postgraduate,Unemployed,8.3,4,Urban,0,1
Chennai,48,128183,Graduate,Government,6.57,1,Rural,3,1
Chennai,31,71299,Secondary,Self-Employed,9.52,1,Urban,3,1
Jaipur,50,120503,Secondary,Unemployed,0.96,1,Urban,3,0
Lucknow,26,44023,Graduate,Self-Employed,8.03,7,Rural,2,1
Pune,44,44941,Graduate,Government,7.14,1,Urban,4,1
Jaipur,41,126677,Primary,Unemployed,2.98,5,Urban,4,0
Mumbai,30,81054,Postgraduate,Self-Employed,7.43,4,Rural,0,1
Ahmedabad,43,70363,Secondary,Government,7.31,2,Rural,4,1
Hyderabad,46,66742,Secondary,Self-Employed,4.86,4,Urban,0,1
Kolkata,68,50215,Primary,Private,7.04,2,Rural,2,0
Mumbai,66,52857,Graduate,Private,4.72,1,Urban,3,0
Lucknow,60,60476,Graduate,Government,3.69,5,Urban,2,1
Bangalore,45,145467,Primary,Government,4.93,3,Urban,3,1
Bangalore,45,64768,Postgraduate,Self-Employed,9.0,3,Urban,3,1
Mumbai,25,108591,Graduate,Government,4.15,6,Rural,0,1
Jaipur,40,51229,Graduate,Private,4.34,1,Rural,3,0
Kolkata,46,116706,Postgraduate,Private,6.28,1,Semi-Urban,2,1
Delhi,22,67583,Postgraduate,Unemployed,7.65,4,Rural,1,1
Delhi,59,131011,Primary,Self-Employed,7.48,5,Semi-Urban,0,1
Lucknow,24,35104,Primary,Government,0.69,5,Urban,3,0
Jaipur,59,42594,Primary,Government,7.03,4,Rural,3,0
Chennai,53,8664,Graduate,Government,4.78,5,Urban,4,0
Chennai,58,15528,Primary,Self-Employed,5.48,7,Semi-Urban,0,0
Hyderabad,44,133404,Graduate,Private,5.84,7,Rural,0,1
Kolkata,63,37899,Secondary,Government,7.45,5,Rural,2,1
Kolkata,19,75979,Postgraduate,Government,8.4,7,Rural,1,1
Bangalore,42,22241,Postgraduate,Private,6.64,3,Rural,2,1
Pune,26,51211,Secondary,Government,5.86,5,Urban,2,1
Lucknow,44,68472,Primary,Unemployed,4.05,7,Rural,2,0
Delhi,18,36346,Graduate,Private,1.81,1,Semi-Urban,1,0
Lucknow,40,86196,Graduate,Private,9.61,3,Rural,2,1
Chennai,27,109451,Graduate,Private,4.89,1,Semi-Urban,0,1
Chennai,59,107908,Postgraduate,Unemployed,5.88,1,Semi-Urban,1,1
Mumbai,69,54167,Primary,Private,7.64,7,Urban,3,0
Hyderabad,42,41373,Graduate,Self-Employed,1.15,7,Rural,4,0
Kolkata,20,72143,Graduate,Self-Employed,8.62,4,Semi-Urban,4,1
Ahmedabad,23,125623,Graduate,Self-Employed,8.07,6,Rural,0,1
Lucknow,23,115013,Secondary,Private,7.86,5,Urban,4,1
Chennai,19,7016,Graduate,Private,0.71,5,Urban,4,0
Pune,35,74110,Secondary,Private,5.5,5,Rural,4,0
Bangalore,40,12274,Graduate,Unemployed,1.02,5,Semi-Urban,3,0
Delhi,19,20748,Graduate,Self-Employed,5.73,7,Urban,4,0
Hyderabad,29,16826,Graduate,Government,7.33,3,Semi-Urban,2,1
Pune,39,88008,Secondary,Government,1.66,2,Semi-Urban,0,0
Hyderabad,54,134288,Graduate,Private,7.1,1,Rural,0,1
Mumbai,37,110623,Primary,Unemployed,4.77,6,Urban,0,0
Ahmedabad,56,144592,Graduate,Private,8.21,6,Rural,3,1
Chennai,41,88106,Secondary,Government,5.57,2,Rural,3,0
Bangalore,65,59638,Secondary,Self-Employed,3.69,2,Rural,4,0
Pune,37,74072,Primary,Government,3.65,2,Semi-Urban,2,0
Hyderabad,18,72309,Postgraduate,Self-Employed,9.03,7,Rural,4,1
Kolkata,18,129724,Primary,Self-Employed,4.8,3,Urban,0,1
Mumbai,34,132843,Primary,Unemployed,4.35,2,Semi-Urban,2,0
Kolkata,18,40326,Secondary,Government,0.88,3,Rural,0,0
Bangalore,69,10079,Graduate,Private,3.96,7,Urban,2,0
Pune,62,126412,Graduate,Unemployed,8.57,4,Rural,1,1
Mumbai,47,92340,Postgraduate,Self-Employed,7.73,4,Rural,3,1
Pune,58,90211,Postgraduate,Government,2.6,6,Rural,3,1
Chennai,64,47749,Postgraduate,Private,4.42,4,Semi-Urban,0,1
Jaipur,20,123192,Postgraduate,Unemployed,2.37,3,Rural,0,0
Mumbai,63,79534,Primary,Private,9.57,3,Urban,1,1
Kolkata,28,84233,Primary,Government,6.18,1,Rural,4,0
Bangalore,41,56818,Graduate,Private,7.67,2,Rural,2,1
Ahmedabad,39,116910,Primary,Unemployed,7.28,5,Semi-Urban,1,0
Chennai,61,18429,Graduate,Private,8.8,5,Rural,1,1
Jaipur,62,62748,Graduate,Government,9.52,2,Urban,0,1
Ahmedabad,43,53807,Graduate,Unemployed,0.81,5,Urban,0,0
Delhi,30,12140,Graduate,Self-Employed,9.77,5,Rural,4,1
Chennai,18,68226,Secondary,Unemployed,8.77,7,Urban,4,0
Bangalore,41,93815,Graduate,Government,4.14,5,Urban,0,1
Hyderabad,27,33525,Primary,Private,8.45,6,Rural,3,0
Mumbai,52,25491,Primary,Self-Employed,7.5,3,Urban,4,0
Pune,41,13078,Primary,Self-Employed,8.03,3,Urban,1,0
Bangalore,45,96654,Primary,Private,2.6,3,Rural,0,0
Mumbai,53,134101,Secondary,Government,6.66,2,Semi-Urban,2,1
Ahmedabad,33,21997,Postgraduate,Unemployed,0.75,4,Semi-Urban,2,0
Pune,57,136940,Postgraduate,Government,8.56,6,Rural,3,1
Lucknow,33,102356,Graduate,Self-Employed,9.53,6,Semi-Urban,0,1
Kolkata,34,118711,Graduate,Unemployed,6.79,5,Semi-Urban,1,1
Delhi,68,26246,Primary,Unemployed,5.37,1,Semi-Urban,3,0
Chennai,32,39512,Primary,Private,7.39,3,Semi-Urban,1,0
Bangalore,33,62865,Postgraduate,Government,3.6,7,Rural,2,1
Delhi,32,108393,Postgraduate,Unemployed,6.45,6,Semi-Urban,1,1
Hyderabad,51,77144,Primary,Private,7.33,6,Semi-Urban,2,0
Mumbai,28,122363,Graduate,Government,1.86,1,Rural,4,0
Mumbai,18,55665,Secondary,Self-Employed,1.83,5,Rural,2,0
Bangalore,32,98542,Secondary,Self-Employed,7.3,6,Semi-Urban,2,1
Jaipur,43,106311,Postgraduate,Government,4.6,6,Urban,3,1
Jaipur,68,19325,Postgraduate,Unemployed,8.95,4,Rural,3,0
Lucknow,21,137825,Postgraduate,Unemployed,3.46,1,Rural,0,1
Kolkata,60,73811,Secondary,Self-Employed,0.9,7,Semi-Urban,0,0
Pune,22,121737,Secondary,Self-Employed,6.67,7,Urban,2,1
Hyderabad,52,5824,Primary,Unemployed,7.0,5,Rural,4,0
Delhi,30,149952,Graduate,Government,5.76,5,Rural,0,1
Jaipur,27,122718,Postgraduate,Self-Employed,6.99,3,Rural,2,1
Lucknow,28,71617,Primary,Unemployed,5.48,4,Urban,3,0
Lucknow,35,16517,Secondary,Government,7.08,5,Rural,0,1
Bangalore,51,108068,Primary,Private,0.92,4,Rural,0,0
Hyderabad,56,120016,Secondary,Government,4.0,3,Urban,2,1
Ahmedabad,58,14982,Graduate,Unemployed,2.5,7,Rural,2,0
Pune,59,75210,Secondary,Government,1.44,1,Urban,1,0
Kolkata,67,74852,Primary,Unemployed,2.72,6,Urban,1,0
Chennai,40,118618,Graduate,Self-Employed,2.32,6,Urban,4,0
Bangalore,24,14695,Secondary,Private,9.74,2,Semi-Urban,0,1
Pune,56,53582,Postgraduate,Self-Employed,3.22,2,Rural,1,0
Chennai,20,36094,Secondary,Self-Employed,2.69,2,Rural,2,0
Chennai,29,27187,Graduate,Unemployed,8.43,6,Rural,0,0
Hyderabad,24,123013,Primary,Unemployed,4.48,4,Urban,1,0
Hyderabad,66,133721,Graduate,Unemployed,4.5,2,Semi-Urban,4,0
Delhi,43,111683,Primary,Unemployed,4.71,1,Urban,4,0
Lucknow,50,6214,Secondary,Self-Employed,4.46,5,Rural,4,0
Pune,54,28940,Secondary,Unemployed,3.6,4,Urban,4,0
Bangalore,65,49406,Graduate,Unemployed,3.22,6,Semi-Urban,2,0
Mumbai,32,63414,Postgraduate,Self-Employed,8.88,1,Rural,4,1
Bangalore,19,106440,Secondary,Private,2.04,7,Urban,3,0
Delhi,58,108569,Postgraduate,Private,2.22,6,Semi-Urban,4,0
Kolkata,24,65481,Postgraduate,Government,5.93,4,Urban,1,1
Lucknow,49,32740,Graduate,Self-Employed,3.76,4,Urban,0,0
Mumbai,21,68328,Secondary,Unemployed,4.5,4,Rural,1,0
Jaipur,37,16881,Postgraduate,Government,8.16,3,Semi-Urban,0,1
Kolkata,67,41996,Secondary,Private,9.08,5,Urban,2,1
Hyderabad,53,127196,Primary,Private,8.01,2,Semi-Urban,0,1
Chennai,49,42177,Postgraduate,Self-Employed,2.73,3,Rural,3,0
Jaipur,45,71126,Graduate,Unemployed,9.81,5,Rural,4,0
Bangalore,30,61531,Graduate,Unemployed,3.95,6,Rural,1,0
Bangalore,18,31119,Postgraduate,Government,2.11,2,Semi-Urban,0,1
Hyderabad,52,122744,Secondary,Private,5.25,7,Semi-Urban,1,1
Delhi,65,121894,Primary,Government,7.39,3,Urban,4,1
Pune,47,138780,Primary,Government,1.29,3,Semi-Urban,2,0
Jaipur,53,49989,Graduate,Government,6.53,1,Rural,4,1
Jaipur,42,27106,Graduate,Unemployed,8.65,7,Urban,2,1
Ahmedabad,33,22131,Secondary,Private,2.99,7,Semi-Urban,1,0
Kolkata,36,51553,Graduate,Government,7.08,3,Rural,2,1
Lucknow,18,11553,Secondary,Private,4.3,4,Rural,2,0
Kolkata,22,22881,Postgraduate,Private,4.43,6,Urban,2,1
Pune,68,6379,Primary,Government,3.17,7,Rural,2,0
Bangalore,39,95791,Postgraduate,Government,6.43,3,Semi-Urban,2,1
Bangalore,41,110664,Graduate,Self-Employed,3.93,4,Rural,0,1
Bangalore,60,74306,Primary,Unemployed,8.39,5,Urban,2,0
Ahmedabad,62,145160,Primary,Private,9.65,5,Rural,2,1
Bangalore,69,109512,Postgraduate,Government,9.38,7,Rural,4,1
Pune,54,21350,Secondary,Government,2.05,4,Semi-Urban,4,0
Hyderabad,53,104599,Primary,Private,0.63,1,Semi-Urban,4,0
Lucknow,53,86397,Secondary,Government,4.67,1,Semi-Urban,2,1
Pune,21,84509,Postgraduate,Self-Employed,7.42,5,Semi-Urban,4,1
Lucknow,53,22769,Postgraduate,Private,9.79,6,Rural,0,1
Pune,69,106584,Secondary,Government,7.94,3,Semi-Urban,1,1
Bangalore,35,51365,Postgraduate,Private,6.02,7,Rural,4,1
Hyderabad,67,55185,Primary,Government,0.75,7,Semi-Urban,4,0
Jaipur,33,138858,Postgraduate,Government,8.34,5,Semi-Urban,0,1
Kolkata,58,131525,Postgraduate,Unemployed,2.18,5,Semi-Urban,3,0
Chennai,35,137692,Primary,Private,1.03,4,Rural,3,0
Hyderabad,39,41303,Secondary,Unemployed,8.58,1,Semi-Urban,0,0
Jaipur,19,24589,Postgraduate,Government,5.88,6,Rural,4,1
Delhi,38,7882,Secondary,Private,1.72,4,Semi-Urban,1,0
Pune,53,134236,Primary,Private,4.17,5,Semi-Urban,4,0
Delhi,61,14745,Secondary,Self-Employed,1.31,2,Urban,0,0
Jaipur,56,20861,Secondary,Self-Employed,6.56,3,Semi-Urban,0,0
Hyderabad,64,96707,Graduate,Government,3.18,5,Rural,2,1
Pune,56,59261,Graduate,Government,8.73,4,Urban,0,1
Chennai,46,138909,Postgraduate,Government,3.9,2,Rural,2,1
Bangalore,43,79135,Graduate,Government,5.2,2,Rural,0,1
Pune,38,59380,Graduate,Self-Employed,1.1,5,Urban,2,0
Pune,34,91089,Graduate,Private,3.12,6,Semi-Urban,2,0
Hyderabad,33,110025,Secondary,Unemployed,6.93,1,Urban,4,0
Hyderabad,48,49397,Secondary,Private,7.49,2,Rural,2,0
Jaipur,68,82085,Graduate,Private,2.81,7,Semi-Urban,3,0
Mumbai,26,68865,Primary,Self-Employed,5.29,3,Urban,0,0
Pune,48,60956,Graduate,Private,8.27,4,Rural,1,1
Kolkata,31,105727,Primary,Private,4.11,4,Semi-Urban,0,0
Pune,66,148978,Secondary,Government,1.77,4,Rural,4,0
Jaipur,54,19988,Primary,Unemployed,4.6,7,Semi-Urban,4,0
Lucknow,19,38800,Secondary,Private,6.21,5,Semi-Urban,2,0
Delhi,69,92329,Primary,Private,0.57,4,Urban,4,0
Bangalore,65,57284,Secondary,Unemployed,3.81,7,Semi-Urban,4,0
Mumbai,63,61232,Secondary,Government,6.27,4,Rural,0,1
Chennai,31,49420,Graduate,Self-Employed,9.54,3,Semi-Urban,3,1
Chennai,50,42710,Postgraduate,Self-Employed,4.38,7,Rural,3,0
Chennai,52,97035,Postgraduate,Private,2.05,1,Semi-Urban,2,1
Hyderabad,56,36283,Secondary,Government,5.58,6,Semi-Urban,4,0
Chennai,64,30968,Graduate,Self-Employed,3.21,5,Urban,4,0
Bangalore,68,67508,Postgraduate,Self-Employed,2.54,5,Semi-Urban,3,0
Delhi,37,118435,Postgraduate,Self-Employed,6.11,4,Semi-Urban,2,1
Chennai,19,90366,Graduate,Self-Employed,9.2,3,Rural,4,1
Pune,68,10738,Graduate,Self-Employed,8.43,2,Rural,2,1
Pune,58,8098,Postgraduate,Private,2.23,7,Rural,0,0
Hyderabad,36,100424,Postgraduate,Self-Employed,7.78,4,Semi-Urban,4,1
Bangalore,54,83672,Primary,Private,2.68,7,Rural,4,0
Delhi,35,43244,Primary,Unemployed,3.26,4,Rural,4,0
Mumbai,33,144325,Secondary,Unemployed,9.24,5,Semi-Urban,3,1
Jaipur,21,59333,Postgraduate,Government,9.15,5,Rural,3,1
Delhi,29,130349,Graduate,Private,2.1,4,Urban,4,0
Jaipur,46,55969,Graduate,Government,1.11,5,Urban,4,0
Lucknow,24,95744,Postgraduate,Unemployed,3.28,3,Rural,0,0
Jaipur,31,122286,Secondary,Unemployed,6.03,2,Rural,0,0
Kolkata,29,80028,Graduate,Unemployed,8.83,2,Rural,2,1
Pune,52,40421,Postgraduate,Unemployed,1.63,7,Semi-Urban,2,0
Bangalore,22,137526,Postgraduate,Self-Employed,4.44,2,Urban,3,1
Ahmedabad,34,43575,Secondary,Unemployed,3.08,7,Urban,1,0
Hyderabad,59,8192,Postgraduate,Self-Employed,0.64,4,Rural,0,0
Kolkata,49,116116,Graduate,Self-Employed,7.99,6,Rural,2,1
Jaipur,27,132874,Primary,Government,8.23,4,Semi-Urban,0,1
Chennai,60,86311,Secondary,Self-Employed,2.6,4,Semi-Urban,0,0
Bangalore,34,146474,Postgraduate,Government,1.94,3,Urban,1,1
Kolkata,22,85781,Secondary,Self-Employed,1.87,2,Semi-Urban,0,0
Hyderabad,62,41527,Postgraduate,Self-Employed,4.91,5,Urban,1,1
Pune,59,57181,Primary,Unemployed,2.84,5,Rural,1,0
Bangalore,26,96472,Secondary,Private,5.36,1,Rural,0,1
Hyderabad,66,86219,Postgraduate,Self-Employed,4.16,1,Urban,0,1
Lucknow,50,148532,Primary,Private,2.5,7,Rural,2,0
Lucknow,53,124783,Graduate,Private,7.64,6,Semi-Urban,0,1
Hyderabad,53,88265,Postgraduate,Private,1.93,7,Rural,0,1
Kolkata,35,55126,Primary,Self-Employed,8.09,5,Rural,0,0
Bangalore,26,25545,Primary,Private,5.83,2,Urban,2,0
Kolkata,46,60114,Secondary,Self-Employed,8.4,7,Semi-Urban,1,1
Mumbai,67,98740,Postgraduate,Unemployed,0.55,4,Semi-Urban,2,0
Jaipur,31,18890,Graduate,Self-Employed,7.62,5,Rural,0,1
Mumbai,42,126284,Postgraduate,Government,0.99,6,Rural,4,0
Lucknow,32,57482,Primary,Unemployed,9.53,6,Semi-Urban,0,0
Pune,23,137812,Graduate,Private,7.18,5,Semi-Urban,2,1
Delhi,59,147290,Primary,Private,3.54,1,Urban,2,0
Jaipur,46,76591,Secondary,Government,3.54,2,Rural,3,0
Lucknow,32,93241,Postgraduate,Unemployed,8.68,5,Rural,4,1
Kolkata,46,39722,Primary,Government,9.08,4,Semi-Urban,2,1
Kolkata,21,54431,Primary,Private,8.97,4,Urban,1,1
Kolkata,35,47000,Postgraduate,Self-Employed,8.18,3,Semi-Urban,0,1
Pune,67,76975,Graduate,Private,8.28,4,Rural,1,1
Mumbai,66,35921,Primary,Government,5.94,5,Rural,2,0
Delhi,61,104265,Postgraduate,Self-Employed,0.77,5,Rural,2,0
Kolkata,56,93747,Secondary,Self-Employed,1.32,4,Rural,1,0
Ahmedabad,33,22601,Secondary,Private,6.67,1,Urban,1,1
Jaipur,28,98332,Postgraduate,Self-Employed,4.31,2,Rural,3,1
Bangalore,31,128254,Primary,Unemployed,5.89,6,Semi-Urban,0,0
Ahmedabad,20,124004,Postgraduate,Private,2.7,5,Urban,1,1
Delhi,68,33000,Postgraduate,Private,6.67,4,Urban,0,1
Pune,67,135439,Primary,Unemployed,2.81,6,Rural,4,0
Delhi,59,124277,Graduate,Private,4.88,4,Urban,2,1
Bangalore,55,35383,Graduate,Government,5.05,5,Rural,1,1
Jaipur,62,147857,Secondary,Government,2.19,3,Urban,4,0
Bangalore,59,45910,Graduate,Private,8.82,2,Urban,2,1
Hyderabad,35,29281,Postgraduate,Unemployed,5.5,5,Semi-Urban,3,0
Jaipur,37,118838,Primary,Self-Employed,8.73,6,Semi-Urban,2,1
Delhi,65,9841,Secondary,Unemployed,2.99,4,Semi-Urban,1,0
Kolkata,42,102204,Graduate,Government,2.14,3,Urban,4,0
Delhi,55,65155,Postgraduate,Private,0.67,7,Semi-Urban,4,0
Delhi,30,61313,Secondary,Unemployed,1.39,5,Semi-Urban,4,0
Jaipur,21,116688,Primary,Self-Employed,1.9,2,Semi-Urban,2,0
Hyderabad,31,137994,Graduate,Self-Employed,1.25,3,Urban,0,1
Delhi,50,36976,Postgraduate,Self-Employed,9.02,6,Rural,0,1
Ahmedabad,45,148063,Primary,Self-Employed,9.16,4,Semi-Urban,2,1
Lucknow,69,109405,Postgraduate,Unemployed,9.4,1,Urban,1,1
Chennai,54,58744,Postgraduate,Self-Employed,9.62,7,Urban,2,1
Chennai,25,7473,Postgraduate,Government,5.17,7,Rural,0,1
Delhi,61,144180,Primary,Self-Employed,5.54,2,Semi-Urban,2,0
Ahmedabad,51,33715,Secondary,Government,1.74,3,Urban,4,0
Kolkata,61,42317,Postgraduate,Unemployed,1.8,5,Urban,1,0
Pune,22,70516,Secondary,Government,7.84,5,Urban,1,1
Pune,22,59604,Secondary,Unemployed,8.63,3,Rural,3,0
Jaipur,48,9889,Graduate,Self-Employed,7.95,5,Semi-Urban,2,1
Chennai,62,78748,Graduate,Private,8.43,7,Urban,4,1
Delhi,26,36971,Secondary,Government,3.13,7,Urban,2,0
Pune,59,55551,Graduate,Government,4.93,7,Urban,3,1
Delhi,49,139273,Graduate,Private,4.86,3,Urban,3,1
Jaipur,50,113957,Secondary,Unemployed,9.96,2,Semi-Urban,2,1
